"","value","lanina","elnino","enso"
"566",1951-07-20,0,1,"El Nino"
"567",1951-07-21,0,1,"El Nino"
"568",1951-07-22,0,1,"El Nino"
"569",1951-07-23,0,1,"El Nino"
"570",1951-07-24,0,1,"El Nino"
"571",1951-07-25,0,1,"El Nino"
"572",1951-07-26,0,1,"El Nino"
"573",1951-07-27,0,1,"El Nino"
"574",1951-07-28,0,1,"El Nino"
"575",1951-07-29,0,1,"El Nino"
"576",1951-07-30,0,1,"El Nino"
"577",1951-07-31,0,1,"El Nino"
"578",1951-08-01,0,1,"El Nino"
"579",1951-08-02,0,1,"El Nino"
"580",1951-08-03,0,1,"El Nino"
"581",1951-08-04,0,1,"El Nino"
"582",1951-08-05,0,1,"El Nino"
"583",1951-08-06,0,1,"El Nino"
"584",1951-08-07,0,1,"El Nino"
"585",1951-08-08,0,1,"El Nino"
"586",1951-08-09,0,1,"El Nino"
"587",1951-08-10,0,1,"El Nino"
"588",1951-08-11,0,1,"El Nino"
"589",1951-08-12,0,1,"El Nino"
"590",1951-08-13,0,1,"El Nino"
"591",1951-08-14,0,1,"El Nino"
"592",1951-08-15,0,1,"El Nino"
"593",1951-08-16,0,1,"El Nino"
"594",1951-08-17,0,1,"El Nino"
"595",1951-08-18,0,1,"El Nino"
"596",1951-08-19,0,1,"El Nino"
"597",1951-08-20,0,1,"El Nino"
"598",1951-08-21,0,1,"El Nino"
"599",1951-08-22,0,1,"El Nino"
"600",1951-08-23,0,1,"El Nino"
"601",1951-08-24,0,1,"El Nino"
"602",1951-08-25,0,1,"El Nino"
"603",1951-08-26,0,1,"El Nino"
"604",1951-08-27,0,1,"El Nino"
"605",1951-08-28,0,1,"El Nino"
"606",1951-08-29,0,1,"El Nino"
"607",1951-08-30,0,1,"El Nino"
"608",1951-08-31,0,1,"El Nino"
"609",1951-09-01,0,1,"El Nino"
"610",1951-09-02,0,1,"El Nino"
"611",1951-09-03,0,1,"El Nino"
"612",1951-09-04,0,1,"El Nino"
"613",1951-09-05,0,1,"El Nino"
"614",1951-09-06,0,1,"El Nino"
"615",1951-09-07,0,1,"El Nino"
"616",1951-09-08,0,1,"El Nino"
"617",1951-09-09,0,1,"El Nino"
"618",1951-09-10,0,1,"El Nino"
"619",1951-09-11,0,1,"El Nino"
"620",1951-09-12,0,1,"El Nino"
"621",1951-09-13,0,1,"El Nino"
"622",1951-09-14,0,1,"El Nino"
"623",1951-09-15,0,1,"El Nino"
"624",1951-09-16,0,1,"El Nino"
"625",1951-09-17,0,1,"El Nino"
"626",1951-09-18,0,1,"El Nino"
"627",1951-09-19,0,1,"El Nino"
"628",1951-09-20,0,1,"El Nino"
"629",1951-09-21,0,1,"El Nino"
"630",1951-09-22,0,1,"El Nino"
"631",1951-09-23,0,1,"El Nino"
"632",1951-09-24,0,1,"El Nino"
"633",1951-09-25,0,1,"El Nino"
"634",1951-09-26,0,1,"El Nino"
"635",1951-09-27,0,1,"El Nino"
"636",1951-09-28,0,1,"El Nino"
"637",1951-09-29,0,1,"El Nino"
"638",1951-09-30,0,1,"El Nino"
"639",1951-10-01,0,1,"El Nino"
"640",1951-10-02,0,1,"El Nino"
"641",1951-10-03,0,1,"El Nino"
"642",1951-10-04,0,1,"El Nino"
"643",1951-10-05,0,1,"El Nino"
"644",1951-10-06,0,1,"El Nino"
"645",1951-10-07,0,1,"El Nino"
"646",1951-10-08,0,1,"El Nino"
"647",1951-10-09,0,1,"El Nino"
"648",1951-10-10,0,1,"El Nino"
"649",1951-10-11,0,1,"El Nino"
